List number,Adjective,Name,ID,Condition,Random,Context,Target,VPinf
1,brave,Greg,20-brave-CnC,CnC,0.256988385,Greg witnessed a knife fight.,He pulled the fighters apart.,to pull the fighters apart
1,foolish,Kate,42-foolish-CnD,CnD,0.583303136,Kate took her nephew to the playground.,She brought water and a snack.,to bring water and a snack
1,fortunate,Sue,15-fortunate-CnC,CnC,0.486049123,Sue was traveling in France.,She spoke some French.,to speak some French
1,lucky,Eve,25-lucky-CxC,CxC,0.599508321,Eve thought she saw her father drown.,She was just hallucinating.,to just be hallucinating
1,mean,Jack,55-mean-CxD,CxD,0.737322521,Jack's wife is celebrating her birthday today.,He baked a cake for her.,to bake a cake for her
1,polite,Chad,43-polite-CxC,CxC,0.372382221,Chad's friend wanted to change her clothing.,He closed his eyes.,to close his eyes
1,rude,Ann,52-rude-CnD,CnD,0.058783651,Ann was standing in front of her friend's door.,She knocked gently.,to knock gently
1,smart,Jane,2-smart-CxD,CxD,0.015854578,Jane was prank-calling people.,She called the police.,to call the police
1,stupid,Zack,11-stupid-CxD,CxD,0.268576016,Zack was at a steak house.,He ordered a steak.,to order a steak
1,wise,Paul,33-wise-CnD,CnD,0.14561037,Paul ran a marathon on Sunday.,He got very drunk the night before.,to get very drunk the night before
2,brave,Greg,19-brave-CxD,CxD,0.254848219,Greg forgot to shave this morning.,He admitted it.,to admit it
2,foolish,Kate,37-foolish-CnD,CnD,0.645283309,Kate was working a very stressful job.,She took relaxation classes.,to take relaxation classes
2,fortunate,Sue,14-fortunate-CnD,CnD,0.512279136,Sue just bought a new car.,She hit a deer.,to hit a deer
2,lucky,Eve,27-lucky-CnC,CnC,0.215317839,Eve was attacked last night.,She escaped her attackers.,to escape her attackers
2,mean,Jack,60-mean-CxC,CxC,0.732538423,Jack didn't want to wait his turn.,He cut the line.,to cut the line
2,polite,Chad,45-polite-CxC,CxC,0.344595056,Chad watched a street comedian.,He laughed.,to laugh
2,rude,Ann,54-rude-CnD,CnD,0.189248121,Ann was chatting with her friend Mark.,She asked about his children.,to ask about his children
2,smart,Jane,3-smart-CxD,CxD,0.9154146,Jane had the measles.,She went to school.,to go to school
2,stupid,Zack,10-stupid-CxD,CxD,0.643351038,Zack was drinking a glass of wine.,He took a sip.,to take a sip
2,wise,Paul,35-wise-CnD,CnD,0.324734208,Paul was staying in a bad part of town.,He went out alone at night.,to go out alone at night
3,brave,Greg,19-brave-CnC,CnC,0.183360646,Greg saw a child drowning in a river.,He jumped into the river.,to jump into the river
3,foolish,Kate,38-foolish-CnD,CnD,0.280891631,Kate read a fantasy novel.,She read it on her vacation.,to read it on her vacation
3,fortunate,Sue,16-fortunate-CxC,CxC,0.067234884,Sue doesn't like to clean.,She had a tiny apartment.,to have a tiny apartment
3,lucky,Eve,25-lucky-CxD,CxD,0.801191494,Eve thought she found water in the desert.,She was just hallucinating.,to be just hallucinating
3,mean,Jack,57-mean-CnD,CnD,0.068080898,Jack's daughter made a mistake in her homework.,He helped her fix it.,to help her fix it
3,polite,Chad,47-polite-CnC,CnC,0.210569099,Chad had insulted his wife.,He apologized.,to apologize
3,rude,Ann,53-rude-CnD,CnD,0.117744411,Ann had insulted her husband.,She apologized.,to apologize
3,smart,Jane,6-smart-CxC,CxC,0.030720923,Jane's boyfriend was cheating on her.,She broke up with him.,to break up with him
3,stupid,Zack,7-stupid-CnC,CnC,0.347676216,Zack was in a severe thunderstorm.,He walked around outside.,to walk around outside
3,wise,Paul,32-wise-CxD,CxD,0.476196826,Paul was attending a church service.,He started yelling loudly.,to start yelling loudly
4,brave,Greg,21-brave-CnC,CnC,0.336706523,Greg had a traumatic experience in the war.,He talked about what he went through.,to talk about what he went through
4,foolish,Kate,38-foolish-CxD,CxD,0.137983681,Kate wanted to exercise.,She went for a run.,to go for a run
4,fortunate,Sue,16-fortunate-CxD,CxD,0.429043304,Sue lives with two big dogs.,She had a tiny apartment.,to have a tiny apartment
4,lucky,Eve,30-lucky-CnD,CnD,0.876478708,Eve was in a car accident.,She broke her neck.,to break her neck
4,mean,Jack,56-mean-CnD,CnD,0.833356755,Jack saw a hungry dog.,He fed him a can of food.,to feed him a can of food
4,polite,Chad,45-polite-CxD,CxD,0.057450821,Chad saw an old lady trip on the street.,He laughed.,to laugh
4,rude,Ann,52-rude-CnC,CnC,0.193762761,Ann was standing in front of her friend's door.,She was eavesdropping.,to be eavesdropping
4,smart,Jane,5-smart-CnD,CnD,0.610810257,Jane's computer was hacked.,She kept using the same passwords.,to keep using the same passwords
4,stupid,Zack,10-stupid-CnD,CnD,0.13505406,Zack was offered some contaminated heroin.,He refused to take it.,to refuse to take it
4,wise,Paul,34-wise-CnD,CnD,0.838941773,Paul's parents were fighting.,He got involved.,to get involved
5,brave,Greg,21-brave-CxC,CxC,0.367257766,Greg was offered a job as a lion tamer.,He took the job.,to take the job
