"ID","Response"
"1-smart-CnD",1.33333333333333
"10-stupid-CnD",1
"11-stupid-CnD",2.7
"12-stupid-CnD",1.90909090909091
"13-fortunate-CnD",2.07692307692308
"14-fortunate-CnD",1.66666666666667
"15-fortunate-CnD",1.11111111111111
"16-fortunate-CnD",1
"17-fortunate-CnD",2.27272727272727
"18-fortunate-CnD",1.66666666666667
"19-brave-CnD",1.45454545454545
"2-smart-CnD",1.09090909090909
"20-brave-CnD",3.18181818181818
"21-brave-CnD",3.4
"22-brave-CnD",1.45454545454545
"23-brave-CnD",1.81818181818182
"24-brave-CnD",3.375
"25-lucky-CnD",1.41666666666667
"26-lucky-CnD",1.7
"27-lucky-CnD",2.45454545454545
"28-lucky-CnD",1.22222222222222
"29-lucky-CnD",1.77777777777778
"3-smart-CnD",2.72727272727273
"30-lucky-CnD",1.3
"31-wise-CnD",1.1
"32-wise-CnD",2.66666666666667
"33-wise-CnD",1
"34-wise-CnD",3.2
"35-wise-CnD",1.55555555555556
"36-wise-CnD",1.8
"37-foolish-CnD",2
"38-foolish-CnD",2.33333333333333
"39-foolish-CnD",1.09090909090909
"4-smart-CnD",1.38461538461538
"40-foolish-CnD",1.8
"41-foolish-CnD",1.08333333333333
"42-foolish-CnD",1
"43-polite-CnD",1.33333333333333
"44-polite-CnD",1.3
"45-polite-CnD",1
"46-polite-CnD",1.44444444444444
"47-polite-CnD",1.08333333333333
"48-polite-CnD",1.81818181818182
"49-rude-CnD",1.41666666666667
"5-smart-CnD",1.1
"50-rude-CnD",1
"51-rude-CnD",1.75
"52-rude-CnD",1.33333333333333
"53-rude-CnD",1
"54-rude-CnD",1.33333333333333
"55-mean-CnD",1
"56-mean-CnD",1
"57-mean-CnD",1.77777777777778
"58-mean-CnD",1.08333333333333
"59-mean-CnD",1
"6-smart-CnD",1.6
"60-mean-CnD",1.1
"7-stupid-CnD",1.44444444444444
"8-stupid-CnD",1.33333333333333
"9-stupid-CnD",1
