hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.windowWidth	Answer.windowHeight	Answer.browser	Answer.listNumber	Answer.age	Answer.language	Answer.americanenglish	Answer.comments	Response0	List0	ID0	Condition0	Adj0	Context0	Target0	Response1	List1	ID1	Condition1	Adj1	Context1	Target1	Response2	List2	ID2	Condition2	Adj2	Context2	Target2	Response3	List3	ID3	Condition3	Adj3	Context3	Target3	Response4	List4	ID4	Condition4	Adj4	Context4	Target4	Response5	List5	ID5	Condition5	Adj5	Context5	Target5	Response6	List6	ID6	Condition6	Adj6	Context6	Target6	Response7	List7	ID7	Condition7	Adj7	Context7	Target7	Response8	List8	ID8	Condition8	Adj8	Context8	Target8	Response9	List9	ID9	Condition9	Adj9	Context9	Target9	Response10	List10	ID10	Condition10	Adj10	Context10	Target10	Response11	List11	ID11	Condition11	Adj11	Context11	Target11	Response12	List12	ID12	Condition12	Adj12	Context12	Target12	Response13	List13	ID13	Condition13	Adj13	Context13	Target13
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3X65QVEQI0ORIH51P49CL9K4Y48CL7	A21YQXPL0SNNR2	Approved	Tue Aug 26 07:13:45 CEST 2014	Mon Aug 25 14:32:19 CEST 2014	Mon Aug 25 14:33:45 CEST 2014	Mon Aug 25 15:01:29 CEST 2014					1615	600	"""Chrome"""	20	"""21"""	"""english"""	"""Yes"""	""""""	3	21	48-polite-CxD	CxD	polite	Chad_heard_that_his_dog_died.	He_smiled.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	3	21	54-rude-CnC	CnC	rude	Ann_was_chatting_with_her_friend_Mark.	She_talked_only_about_herself.	3	21	40-foolish-CnD	CnD	foolish	Kate's_favorite_shampoo_was_on_sale.	She_bought_two_bottles.	7	21	34-wise-CnC	CnC	wise	Paul's_parents_were_fighting.	He_stayed_out_of_it.	3	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	7	21	13-fortunate-CxC	CxC	fortunate	Sue_got_into_a_rain_storm.	She_had_a_big_umbrella_with_her.	2	21	29-lucky-CxC	CxC	lucky	Eve_was_playing_tennis_against_a_pro.	She_won_two_games.	7	21	23-brave-CxC	CxC	brave	Greg_had_to_travel_through_Iraq_alone.	He_made_the_trip.	1	21	6-smart-CnD	CnD	smart	Jane_parked_her_car.	She_left_the_lights_on.	5	21	11-stupid-CnD	CnD	stupid	Zack_couldn't_afford_the_leather_jacket.	He_started_saving_for_it.	6	21	59-mean-CnC	CnC	mean	Jack_bumped_his_shopping_cart_into_a_woman.	He_laughed_when_she_cried.	5	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	4	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3GGAI1SQEVZBOZNMPGARLMZTY9YCM9	AIXNGJXYV4Y07	Approved	Tue Aug 26 07:15:02 CEST 2014	Mon Aug 25 14:32:41 CEST 2014	Mon Aug 25 14:35:02 CEST 2014	Mon Aug 25 15:01:29 CEST 2014					984	600	"""Chrome"""	13	"""57"""	"""English"""	"""Yes"""	""""""	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	1	14	8-stupid-CnD	CnD	stupid	Zack_left_the_bar_drunk.	He_called_a_taxi.	5	14	4-smart-CxD	CxD	smart	Jane_hates_keeping_track_of_time.	She_bought_a_watch.	4	14	22-brave-CnC	CnC	brave	Greg_saw_a_man_hit_a_dog.	He_stood_up_to_the_man.	1	14	55-mean-CnD	CnD	mean	Jack_walked_past_an_old_man_with_a_cane.	He_helped_him_across_the_street.	6	14	29-lucky-CnC	CnC	lucky	Eve_wanted_to_be_a_model.	She_had_beautiful_skin.	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	1	14	43-polite-CnD	CnD	polite	Chad_was_visiting_his_grandmother.	He_insulted_her_caretaker.	1	14	41-foolish-CnD	CnD	foolish	Kate's_doctor_told_her_to_lose_weight.	She_started_exercising.	1	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.	7	14	52-rude-CxC	CxC	rude	Ann_was_watching_a_play._	She_made_a_call_on_her_cell_phone.	6	14	16-fortunate-CnC	CnC	fortunate	Sue_was_training_to_become_a_dancer.	She_had_a_great_sense_of_rhythm.	1	14	33-wise-CxD	CxD	wise	Paul_went_into_the_public_pool.	He_wore_hiking_boots.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3TXWC2NHNZRCOWTOXTWMV5XRKDDS9K	A1CFUMXK9QFT9M	Approved	Tue Aug 26 07:15:24 CEST 2014	Mon Aug 25 14:33:35 CEST 2014	Mon Aug 25 14:35:24 CEST 2014	Mon Aug 25 15:01:29 CEST 2014					1232	600	"""Chrome"""	16	"""30"""	"""English"""	"""Yes"""	"""none"""	6	17	26-lucky-CxC	CxC	lucky	Eve_sold_her_house_in_a_recession.	She_broke_even.	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	3	17	7-stupid-CxD	CxD	stupid	Zack_wanted_to_get_a_good_job.	He_went_to_school.	6	17	56-mean-CxC	CxC	mean	Jack_didn't_like_the_movie_his_wife_was_watching.	He_turned_off_the_movie.	6	17	33-wise-CxC	CxC	wise	Paul_went_on_a_hike_in_the_Alps.	He_wore_hiking_boots.	5	17	37-foolish-CnC	CnC	foolish	Kate_was_working_a_very_stressful_job.	She_ignored_her_health_problems.	7	17	46-polite-CxC	CxC	polite	Chad_was_hanging_out_with_an_unhappy_friend.	He_listened_for_a_long_time.	1	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.	6	17	51-rude-CxC	CxC	rude	Ann_was_eating_pasta_with_her_friends.	She_used_her_fingers.	7	17	22-brave-CxC	CxC	brave	Greg_was_being_attacked_by_five_men.	He_took_them_on.	2	17	13-fortunate-CnD	CnD	fortunate	Sue_was_bitten_by_a_shark.	She_lost_a_leg.	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	1	17	4-smart-CnD	CnD	smart	Jane_was_baby-sitting_for_her_sister.	She_left_the_baby_unattended.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3ZGVPD4G6TIS9NOGQRVBIYV61ZFTZP	AM2WGEJDWJY1I	Approved	Tue Aug 26 07:15:49 CEST 2014	Mon Aug 25 14:33:18 CEST 2014	Mon Aug 25 14:35:49 CEST 2014	Mon Aug 25 15:01:29 CEST 2014					1299	600	"""Firefox"""	6	"""51"""	"""English"""	"""Yes"""	""""""	1	7	45-polite-CnD	CnD	polite	Chad_was_accidentally_tripped_by_a_little_girl.	He_swore_at_her_loudly.	5	7	41-foolish-CnC	CnC	foolish	Kate's_doctor_told_her_to_lose_weight.	She_ignored_him.	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	7	7	31-wise-CnC	CnC	wise	Paul_lost_his_wallet_with_his_credit_cards.	He_canceled_the_credit_cards_immediately.	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	2	7	17-fortunate-CxD	CxD	fortunate	Sue_is_allergic_to_pollen.	She_had_a_flower_bouquet.	6	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	3	7	24-brave-CnD	CnD	brave	Greg_was_attacked_last_year.	He_cried_during_the_attack.	1	7	59-mean-CnD	CnD	mean	Jack_bumped_his_shopping_cart_into_a_woman.	He_apologized_to_her.	3	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.	4	7	5-smart-CxD	CxD	smart	Jane_went_to_a_pizzeria.	She_brought_a_snack.	6	7	28-lucky-CxC	CxC	lucky	Eve_has_a_5th_grade_education.	She_got_a_minimum_wage_job.	7	7	49-rude-CxC	CxC	rude	Ann's_neighbor_greeted_her.	She_ignored_him.	5	7	8-stupid-CxC	CxC	stupid	Zack_loves_his_girlfriend.	He_broke_up_with_her.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3K2755HG5S4FNH1J3P1PA2X2M8YFD5	A27ZYAW0NH371F	Approved	Tue Aug 26 07:16:49 CEST 2014	Mon Aug 25 14:33:57 CEST 2014	Mon Aug 25 14:36:49 CEST 2014	Mon Aug 25 15:01:29 CEST 2014					1603	600	"""Chrome"""	20	"""30"""	"""English"""	"""Yes"""	""""""	1	21	40-foolish-CnD	CnD	foolish	Kate's_favorite_shampoo_was_on_sale.	She_bought_two_bottles.	6	21	34-wise-CnC	CnC	wise	Paul's_parents_were_fighting.	He_stayed_out_of_it.	1	21	6-smart-CnD	CnD	smart	Jane_parked_her_car.	She_left_the_lights_on.	3	21	29-lucky-CxC	CxC	lucky	Eve_was_playing_tennis_against_a_pro.	She_won_two_games.	3	21	48-polite-CxD	CxD	polite	Chad_heard_that_his_dog_died.	He_smiled.	4	21	23-brave-CxC	CxC	brave	Greg_had_to_travel_through_Iraq_alone.	He_made_the_trip.	2	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.	5	21	59-mean-CnC	CnC	mean	Jack_bumped_his_shopping_cart_into_a_woman.	He_laughed_when_she_cried.	6	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	6	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	2	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	3	21	11-stupid-CnD	CnD	stupid	Zack_couldn't_afford_the_leather_jacket.	He_started_saving_for_it.	5	21	13-fortunate-CxC	CxC	fortunate	Sue_got_into_a_rain_storm.	She_had_a_big_umbrella_with_her.	5	21	54-rude-CnC	CnC	rude	Ann_was_chatting_with_her_friend_Mark.	She_talked_only_about_herself.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3NJM2BJS4W7H92KZHW2J2QTO3E9CP5	AZE084MMZVEYT	Approved	Tue Aug 26 07:18:13 CEST 2014	Mon Aug 25 14:36:35 CEST 2014	Mon Aug 25 14:38:13 CEST 2014	Mon Aug 25 15:01:30 CEST 2014					1632	600	"""Chrome"""	4	"""33"""	"""english"""	"""Yes"""	"""It+was+simple+and+easy."""	1	5	46-polite-CnD	CnD	polite	Chad_was_standing_in_front_of_his_friend's_door.	He_was_eavesdropping.	1	5	15-fortunate-CnD	CnD	fortunate	Sue_was_traveling_in_France.	She_got_robbed.	7	5	21-brave-CxC	CxC	brave	Greg_was_offered_a_job_as_a_lion_tamer.	He_took_the_job.	1	5	7-stupid-CnD	CnD	stupid	Zack_was_in_a_severe_thunderstorm.	He_found_shelter_in_a_basement.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	1	5	58-mean-CxD	CxD	mean	Jack's_wife_had_asked_him_to_wake_her_really_early.	He_woke_her_up_at_5am.	5	5	2-smart-CxC	CxC	smart	Jane_saw_a_man_with_a_gun.	She_called_the_police.	6	5	30-lucky-CxC	CxC	lucky	Eve_did_not_understand_her_chemistry_class.	She_got_a_B.	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	1	5	53-rude-CnD	CnD	rude	Ann_had_insulted_her_husband.	She_apologized.	3	5	41-foolish-CxD	CxD	foolish	Kate_was_invited_to_a_formal_dinner.	She_wore_high_heels.	7	5	36-wise-CnC	CnC	wise	Paul_had_the_flu.	He_stayed_in_bed.	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	1	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	32SVAV9L3FAM9YIEZK9LJS0ZYFWA3P	A2HSEXR72K1HSC	Approved	Tue Aug 26 07:19:25 CEST 2014	Mon Aug 25 14:36:41 CEST 2014	Mon Aug 25 14:39:25 CEST 2014	Mon Aug 25 15:01:30 CEST 2014					940	600	"""Safari"""	17	"""34"""	"""English"""	"""Yes"""	""""""	7	18	42-foolish-CxC	CxC	foolish	Kate_can't_swim.	She_jumped_into_the_water.	1	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.	5	18	57-mean-CxC	CxC	mean	Jack's_customer_asked_him_to_drive_faster.	He_slowed_the_car_down.	2	18	48-polite-CnD	CnD	polite	Chad_was_chatting_with_his_friend_Betty.	He_talked_only_about_himself.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	6	18	32-wise-CxC	CxC	wise	Paul_was_being_mugged.	He_started_yelling_loudly.	2	18	18-fortunate-CxD	CxD	fortunate	Sue_was_at_her_best_friend's_wedding.	She_fell_asleep.	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	6	18	1-smart-CxC	CxC	smart	Jane's_father_couldn't_hear_the_TV.	She_turned_up_the_volume.	7	18	53-rude-CnC	CnC	rude	Ann_had_insulted_her_husband.	She_laughed_at_his_tears.	1	18	19-brave-CnD	CnD	brave	Greg_saw_a_child_drowning_in_a_river.	He_watched_from_the_river_bank.	4	18	27-lucky-CxD	CxD	lucky	Eve_was_called_in_for_jury_duty.	She_was_chosen.	7	18	12-stupid-CxD	CxD	stupid	Zack_was_hungry.	He_drank_a_milk_shake.	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3OLF68YTN92HPAY7JFANK1PW151FA3	AELOYBHVZFDW9	Approved	Tue Aug 26 07:21:09 CEST 2014	Mon Aug 25 14:31:28 CEST 2014	Mon Aug 25 14:41:09 CEST 2014	Mon Aug 25 15:01:30 CEST 2014					1215	600	"""Chrome"""	15	"""53"""	"""english"""	"""Yes"""	""""""	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	7	16	4-smart-CnC	CnC	smart	Jane_was_baby-sitting_for_her_sister.	She_kept_an_eye_on_the_baby_at_all_times.	5	16	51-rude-CnC	CnC	rude	Ann_was_tripped_by_a_little_boy.	She_swore_at_him_loudly.	1	16	29-lucky-CnD	CnD	lucky	Eve_wanted_to_be_a_model.	She_had_bad_skin.	3	16	42-foolish-CxD	CxD	foolish	Kate_was_feeling_very_warm.	She_jumped_into_the_water.	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	3	16	47-polite-CxD	CxD	polite	Chad_was_asked_to_move_to_the_left.	He_moved_to_the_right.	1	16	31-wise-CxD	CxD	wise	Paul_bought_some_heroin_from_a_street_dealer.	He_asked_about_the_return_policy.	7	16	17-fortunate-CxC	CxC	fortunate	Sue_needed_a_present_for_her_sick_friend.	She_had_a_flower_bouquet.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	1	16	59-mean-CxD	CxD	mean	Jack's_daughter_was_a_little_hungry.	He_gave_her_a_milk_shake.	7	16	9-stupid-CxC	CxC	stupid	Zack_was_sitting_in_the_bath_tub.	He_used_the_hair_dryer.	7	16	23-brave-CnC	CnC	brave	Greg_wrote_a_controversial_article.	He_used_his_own_name.	1	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3C6FJU71TQU74AT0UAJ29N86EJJUYR	A142ZRU284W9O	Approved	Tue Aug 26 07:25:19 CEST 2014	Mon Aug 25 14:35:27 CEST 2014	Mon Aug 25 14:45:19 CEST 2014	Mon Aug 25 15:01:30 CEST 2014					1180	600	"""Chrome"""	18	"""33"""	"""English"""	"""Yes"""	""""""	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	3	19	29-lucky-CxD	CxD	lucky	Eve_was_playing_Connect_Four_against_a_child.	She_won_two_games.	5	19	60-mean-CxD	CxD	mean	Jack_had_to_go_to_the_bathroom.	He_cut_the_line.	5	19	41-foolish-CxC	CxC	foolish	Kate_has_problems_with_her_feet.	She_wore_high_heels.	6	19	46-polite-CnC	CnC	polite	Chad_was_standing_in_front_of_his_friend's_door.	He_knocked_gently.	7	19	5-smart-CxC	CxC	smart	Jane_went_on_a_hike.	She_brought_a_snack.	7	19	18-fortunate-CxC	CxC	fortunate	Sue_needed_to_get_some_rest.	She_fell_asleep.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	5	19	34-wise-CxC	CxC	wise	Paul_was_burnt_out_from_work.	He_took_a_vacation.	3	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.	3	19	21-brave-CxD	CxD	brave	Greg_was_asked_to_mow_his_neighbor's_lawn.	He_took_the_job.	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	7	19	50-rude-CnC	CnC	rude	Ann_was_visiting_her_older_brother.	She_insulted_his_wife.	7	19	10-stupid-CnC	CnC	stupid	Zack_was_offered_some_contaminated_heroin.	He_injected_it.
3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3VUPA8U9XY0AOUHPYF3G04X43HPFX5	Language experiment	Read sentences and answer questions about them	language annotation	$0.45	Mon Aug 25 14:29:24 CEST 2014	270	0	0	270	Reviewable	NotReviewed	1 condition	1800	60000	Thu Aug 28 14:29:24 CEST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3JU8CV4BRLDFW7J8HZ6886SMJT5POE	3X1FV8S5JXS7VYX05U71Y93LNU1GV3	A3JNQZZ7S96N7Q	Approved	Tue Aug 26 07:36:44 CEST 2014	Mon Aug 25 14:32:42 CEST 2014	Mon Aug 25 14:56:44 CEST 2014	Mon Aug 25 15:01:30 CEST 2014					1371	1400	"""Chrome"""	5	"""18"""	"""English"""	"""Yes"""	""""""	7	6	58-mean-CnC	CnC	mean	Jack_had_a_date_last_Sunday.	He_stood_up_his_date.	1	6	44-polite-CnD	CnD	polite	Chad_met_his_neighbor_for_the_first_time.	He_asked_about_his_income.	7	6	35-wise-CxC	CxC	wise	Paul_was_asked_to_commit_a_crime.	He_refused.	1	6	16-fortunate-CnD	CnD	fortunate	Sue_was_training_to_become_a_dancer.	She_developed_back_problems.	7	6	7-stupid-CxC	CxC	stupid	Zack_had_the_measles.	He_went_to_school.	6	6	27-lucky-CxC	CxC	lucky	Eve_was_a_finalist_in_The_Bachelor.	She_was_chosen.	1	filler	filler1No	na	true	Claire_was_knitting_a_sweater.	She_was_using_red_yarn.	1	6	49-rude-CxD	CxD	rude	Ann's_neighbor_made_an_inappropriate_comment.	She_ignored_him.	3	6	21-brave-CnD	CnD	brave	Greg_had_a_traumatic_experience_in_the_war.	He_refused_to_talk_about_what_he_went_through.	7	filler	filler2Yes	na	true	Liv_was_having_a_birthday_party.	She_bought_a_cake_for_her_party.	7	filler	filler1Yes	na	true	Earl_worked_in_London_last_year.	He_was_a_teacher_at_a_private_school.	1	filler	filler1No	na	true	Ross_graduated_from_college_yesterday.	He_was_an_excellent_student.	7	6	38-foolish-CxC	CxC	foolish	Kate_had_a_broken_ankle.	She_went_for_a_run.	1	6	6-smart-CxD	CxD	smart	Jane_loves_her_boyfriend.	She_broke_up_with_him.
