"ID","Response"
"1-smart-CxC",6.54545454545455
"10-stupid-CxC",6.41666666666667
"11-stupid-CxC",5.3
"12-stupid-CxC",6.41666666666667
"13-fortunate-CxC",6.6
"14-fortunate-CxC",4.9
"15-fortunate-CxC",5.81818181818182
"16-fortunate-CxC",4.66666666666667
"17-fortunate-CxC",6.11111111111111
"18-fortunate-CxC",5.28571428571429
"19-brave-CxC",6.6
"2-smart-CxC",5.88888888888889
"20-brave-CxC",6.91666666666667
"21-brave-CxC",5.77777777777778
"22-brave-CxC",6
"23-brave-CxC",6.1
"24-brave-CxC",5.08333333333333
"25-lucky-CxC",4.88888888888889
"26-lucky-CxC",5.76923076923077
"27-lucky-CxC",5.5
"28-lucky-CxC",5.625
"29-lucky-CxC",4.6
"3-smart-CxC",6
"30-lucky-CxC",5.22222222222222
"31-wise-CxC",6.81818181818182
"32-wise-CxC",6.45454545454545
"33-wise-CxC",6.84615384615385
"34-wise-CxC",6.42857142857143
"35-wise-CxC",6.8
"36-wise-CxC",6
"37-foolish-CxC",6.66666666666667
"38-foolish-CxC",6.9
"39-foolish-CxC",6.45454545454545
"4-smart-CxC",6.66666666666667
"40-foolish-CxC",5
"41-foolish-CxC",5.85714285714286
"42-foolish-CxC",6.72727272727273
"43-polite-CxC",6.77777777777778
"44-polite-CxC",6.27272727272727
"45-polite-CxC",6.66666666666667
"46-polite-CxC",6.53846153846154
"47-polite-CxC",6.5
"48-polite-CxC",6.8
"49-rude-CxC",5.875
"5-smart-CxC",6.07142857142857
"50-rude-CxC",6.18181818181818
"51-rude-CxC",5.30769230769231
"52-rude-CxC",6.33333333333333
"53-rude-CxC",5.11111111111111
"54-rude-CxC",5.54545454545455
"55-mean-CxC",4.72727272727273
"56-mean-CxC",5.61538461538461
"57-mean-CxC",4.90909090909091
"58-mean-CxC",5.45454545454545
"59-mean-CxC",5.9
"6-smart-CxC",6.66666666666667
"60-mean-CxC",6.55555555555556
"7-stupid-CxC",6.7
"8-stupid-CxC",5.125
"9-stupid-CxC",6.44444444444444
