"ID","Response"
"1-smart-CxD",1.54545454545455
"10-stupid-CxD",1.33333333333333
"11-stupid-CxD",1.77777777777778
"12-stupid-CxD",2.81818181818182
"13-fortunate-CxD",2.81818181818182
"14-fortunate-CxD",1.45454545454545
"15-fortunate-CxD",1.36363636363636
"16-fortunate-CxD",1.6
"17-fortunate-CxD",1.75
"18-fortunate-CxD",1.54545454545455
"19-brave-CxD",4.11111111111111
"2-smart-CxD",1.33333333333333
"20-brave-CxD",3.9
"21-brave-CxD",3.07142857142857
"22-brave-CxD",2.18181818181818
"23-brave-CxD",3.9
"24-brave-CxD",3
"25-lucky-CxD",1.66666666666667
"26-lucky-CxD",3.3
"27-lucky-CxD",2.54545454545455
"28-lucky-CxD",2.36363636363636
"29-lucky-CxD",3.5
"3-smart-CxD",1.22222222222222
"30-lucky-CxD",2.45454545454545
"31-wise-CxD",1.33333333333333
"32-wise-CxD",2.44444444444444
"33-wise-CxD",1.58333333333333
"34-wise-CxD",2
"35-wise-CxD",2.83333333333333
"36-wise-CxD",1.4
"37-foolish-CxD",1.4
"38-foolish-CxD",1.1
"39-foolish-CxD",1.2
"4-smart-CxD",5.16666666666667
"40-foolish-CxD",1.27272727272727
"41-foolish-CxD",2.44444444444444
"42-foolish-CxD",2.33333333333333
"43-polite-CxD",1.81818181818182
"44-polite-CxD",1
"45-polite-CxD",1
"46-polite-CxD",2
"47-polite-CxD",1.55555555555556
"48-polite-CxD",2.2
"49-rude-CxD",1.7
"5-smart-CxD",2.875
"50-rude-CxD",1.72727272727273
"51-rude-CxD",1
"52-rude-CxD",2.66666666666667
"53-rude-CxD",1.7
"54-rude-CxD",3
"55-mean-CxD",1.11111111111111
"56-mean-CxD",1.81818181818182
"57-mean-CxD",1.36363636363636
"58-mean-CxD",2.33333333333333
"59-mean-CxD",2.44444444444444
"6-smart-CxD",3
"60-mean-CxD",6
"7-stupid-CxD",2.07692307692308
"8-stupid-CxD",1.18181818181818
"9-stupid-CxD",1.09090909090909
