workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,Contradict,VPinf,Enough
22,31Z0PCVWUKG9PDIA7W3SRE27RAK7T1,1,22,"""English""","""Yes""",Trial1,2 9-stupid-CxC-noE CxC Zack_was_sitting_in_the_bath_tub. He_used_the_hair_dryer. 5 stupid He_was_far_away_from_all_electrical_appliances. to_use_the_hair_dryer noE,1,2,9-stupid-CxC-noE,CxC,Zack_was_sitting_in_the_bath_tub.,He_used_the_hair_dryer.,5,stupid,He_was_far_away_from_all_electrical_appliances.,to_use_the_hair_dryer,noE
20,354P56DE9K48AD5VIWY2H96LPR67SC,1,25,"""english""","""Yes""",Trial1,2 9-stupid-CxC-noE CxC Zack_was_sitting_in_the_bath_tub. He_used_the_hair_dryer. 5 stupid He_was_far_away_from_all_electrical_appliances. to_use_the_hair_dryer noE,1,2,9-stupid-CxC-noE,CxC,Zack_was_sitting_in_the_bath_tub.,He_used_the_hair_dryer.,5,stupid,He_was_far_away_from_all_electrical_appliances.,to_use_the_hair_dryer,noE
16,3TE3O857309PNX8CXVH2V8KHS91R2S,1,35,"""english""","""Yes""",Trial1,2 22-brave-CxC-noE CxC Greg_was_being_attacked_by_five_men. He_took_them_on. 7 brave He_curled_up_on_the_ground. to_take_them_on noE,1,2,22-brave-CxC-noE,CxC,Greg_was_being_attacked_by_five_men.,He_took_them_on.,7,brave,He_curled_up_on_the_ground.,to_take_them_on,noE
12,36U2A8VAG10T1EOO0WF030Z8CW2YKN,5,21,"""English%2C+Polish""","""Yes""",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 3 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,3,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na
118,374TNBHA8BWFCHMJD1ZXZMBHB2UQY7,5,61,"""English""","""Yes""",Trial1,6 43-polite-CxC-noE CxC Chad's_friend_wanted_to_change_her_clothing. He_closed_his_eyes. 7 polite He_watched_her_change. to_close_his_eyes noE,1,6,43-polite-CxC-noE,CxC,Chad's_friend_wanted_to_change_her_clothing.,He_closed_his_eyes.,7,polite,He_watched_her_change.,to_close_his_eyes,noE
120,3WJEQKOXA83QZV4ZCGV2VZL20Z01AE,7,28,"""English""","""Yes""",Trial1,8 37-foolish-CnC-E CnC Kate_was_working_a_very_stressful_job. She_ignored_her_health_problems. 5 foolish_enough She_tried_to_deal_with_her_health_problems. to_ignore_her_health_problems E,1,8,37-foolish-CnC-E,CnC,Kate_was_working_a_very_stressful_job.,She_ignored_her_health_problems.,5,foolish_enough,She_tried_to_deal_with_her_health_problems.,to_ignore_her_health_problems,E
4,3RXCAC0YIRQ9KM1NX1WR6VJDC0IG8O,9,25,"""English""","""Yes""",Trial1,10 9-stupid-CnC-noE CnC Zack_discovered_that_his_girlfriend_was_cheating. He_married_her. 3 stupid He_broke_up_with_her. to_marry_her noE,1,10,9-stupid-CnC-noE,CnC,Zack_discovered_that_his_girlfriend_was_cheating.,He_married_her.,3,stupid,He_broke_up_with_her.,to_marry_her,noE
15,3MD9PLUKKIFUEAJWTV9Z9ZPECLBNZ8,10,34,"""english""","""Yes""",Trial1,11 29-lucky-CnC-E CnC Eve_wanted_to_be_a_model. She_had_beautiful_skin. 5 lucky_enough She_had_bad_skin. to_have_beautiful_skin E,1,11,29-lucky-CnC-E,CnC,Eve_wanted_to_be_a_model.,She_had_beautiful_skin.,5,lucky_enough,She_had_bad_skin.,to_have_beautiful_skin,E
84,3WI0P0II61TCQ76SUK1JRRBLP0QRD1,7,29,"""English""","""Yes""",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na
83,3JZQSN0I3QBIZ1BA5F2XGN0ZZ4VGF5,5,22,"""English""","""Yes""",Trial1,6 56-mean-CnC-noE CnC Jack_saw_a_hungry_dog. He_pretended_to_have_food_for_him. 5 mean He_walked_away. to_pretend_to_have_food_for_him noE,1,6,56-mean-CnC-noE,CnC,Jack_saw_a_hungry_dog.,He_pretended_to_have_food_for_him.,5,mean,He_walked_away.,to_pretend_to_have_food_for_him,noE
114,3TMFV4NEP8F5H8RNC609SY516O8W83,6,24,"""english""","""Yes""",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na
101,3M0BCWMB8VXOJ6PUFIKJJ0V2EUUBWI,2,25,"""english""","""Yes""",Trial1,filler filler1 filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 6 forgot He_called_his_dentist. to_call_his_dentist na,1,filler,filler1,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,6,forgot,He_called_his_dentist.,to_call_his_dentist,na
25,3SITXWYCNVA386UKPNG5LJ99NW0BXB,6,30,"""English""","""Yes""",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na
6,3F6HPJW4JD1UVTPYWPR8I7SYKOGW20,3,72,"""English""","""Yes""",Trial1,4 42-foolish-CnC-noE CnC Kate_took_her_nephew_to_the_playground. She_wore_high_heels. 1 foolish She_wore_sneakers. to_wear_high_heels noE,1,4,42-foolish-CnC-noE,CnC,Kate_took_her_nephew_to_the_playground.,She_wore_high_heels.,1,foolish,She_wore_sneakers.,to_wear_high_heels,noE
63,3FDJT1UU749VZQE4PUA3S31FHRY5KE,11,22,"""English""","""Yes""",Trial1,12 41-foolish-CnC-E CnC Kate's_doctor_told_her_to_lose_weight. She_ignored_him. 6 foolish_enough She_listened_to_him. to_ignore_him E,1,12,41-foolish-CnC-E,CnC,Kate's_doctor_told_her_to_lose_weight.,She_ignored_him.,6,foolish_enough,She_listened_to_him.,to_ignore_him,E
82,3YMU66OBIN92DX2G05QXJ8CCFJ8GH3,6,31,"""English""","""Yes""",Trial1,7 13-fortunate-CnC-noE CnC Sue_was_bitten_by_a_shark. She_got_away_with_a_few_cuts. 6 fortunate She_lost_a_leg. to_get_away_with_a_few_cuts noE,1,7,13-fortunate-CnC-noE,CnC,Sue_was_bitten_by_a_shark.,She_got_away_with_a_few_cuts.,6,fortunate,She_lost_a_leg.,to_get_away_with_a_few_cuts,noE
26,3NKQQ8O39Y646ZY9YEWOW2Y5WZUDUR,9,44,"""English""","""Yes""",Trial1,filler filler6 filler Liv_went_on_a_trip_to_Europe. She_failed_to_visit_Italy. 1 failed She_spent_a_lot_of_time_in_Italy. to_visit_Italy na,1,filler,filler6,filler,Liv_went_on_a_trip_to_Europe.,She_failed_to_visit_Italy.,1,failed,She_spent_a_lot_of_time_in_Italy.,to_visit_Italy,na
92,3TE3O857309PNX8CXVH2V8KHS912R3,8,44,"""English""","""Yes""",Trial1,filler filler4 filler Keith_was_hiking_up_a_steep_mountain. He_was_ecstatic_to_have_made_it_to_the_top. 1 ecstatic He_didn't_make_it_to_the_top. to_have_made_it_to_the_top na,1,filler,filler4,filler,Keith_was_hiking_up_a_steep_mountain.,He_was_ecstatic_to_have_made_it_to_the_top.,1,ecstatic,He_didn't_make_it_to_the_top.,to_have_made_it_to_the_top,na
65,3V5Q80FXIXSX4VNAM5G6DAH1MVL320,3,28,"""English""","""No""",Trial1,4 9-stupid-CnC-E CnC Zack_discovered_that_his_girlfriend_was_cheating. He_married_her. 6 stupid_enough He_broke_up_with_her. to_marry_her E,1,4,9-stupid-CnC-E,CnC,Zack_discovered_that_his_girlfriend_was_cheating.,He_married_her.,6,stupid_enough,He_broke_up_with_her.,to_marry_her,E
85,3WSELTNVR33R8FG8EZFC154XSIQATV,2,32,"""English""","""Yes""",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 1 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,1,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na
98,3HHRAGRYX86XQ41VQCFDB0NQNSRO98,10,32,"""English""","""Yes""",Trial1,filler filler1 filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forgot He_called_his_dentist. to_call_his_dentist na,1,filler,filler1,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forgot,He_called_his_dentist.,to_call_his_dentist,na
42,34S9DKFK73QU9K9RX97GVSGC6R7YNS,0,28,"""English""","""Yes""",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 2 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,2,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na
21,3VAR3R6G1P2XCZILLK9ZB4SF3M9O8J,3,24,"""english""","""Yes""",Trial1,filler filler2 filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 7 manage He_found_coins_in_his_pocket. to_find_coins_anywhere na,1,filler,filler2,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,7,manage,He_found_coins_in_his_pocket.,to_find_coins_anywhere,na
11,3SKEMFQBZ36EM8X6NSH64NB6JHZ8KJ,1,24,"""English""","""Yes""",Trial1,2 35-wise-CnC-noE CnC Paul_was_staying_in_a_bad_part_of_town. He_stayed_at_home_at_night. 4 wise He_went_out_alone_in_the_dark. to_stay_at_home_at_night noE,1,2,35-wise-CnC-noE,CnC,Paul_was_staying_in_a_bad_part_of_town.,He_stayed_at_home_at_night.,4,wise,He_went_out_alone_in_the_dark.,to_stay_at_home_at_night,noE
62,3ZSY5X72NXC3U4XHKTFZ2LNKTEXROY,9,42,"""english""","""Yes""",Trial1,filler filler3 filler Charles_was_on_a_date_with_Susanne. He_was_happy_to_be_having_a_great_time. 1 happy He_was_having_a_bad_time. to_be_having_a_great_time na,1,filler,filler3,filler,Charles_was_on_a_date_with_Susanne.,He_was_happy_to_be_having_a_great_time.,1,happy,He_was_having_a_bad_time.,to_be_having_a_great_time,na
59,336YQZE83VFQPEE7A6NJ7GTJ6WT5MJ,5,27,"""English""","""Yes""",Trial1,6 43-polite-CxC-noE CxC Chad's_friend_wanted_to_change_her_clothing. He_closed_his_eyes. 6 polite He_watched_her_change. to_close_his_eyes noE,1,6,43-polite-CxC-noE,CxC,Chad's_friend_wanted_to_change_her_clothing.,He_closed_his_eyes.,6,polite,He_watched_her_change.,to_close_his_eyes,noE
2,3MB8LZR5BFU91FHPHHQA9SXC3HYLKI,4,21,"""Spanish+and+English""","""Yes""",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 1 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,1,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na
100,3GDTJDAPVUC9CWX984UMJ03A8MU8MO,0,26,"""English""","""Yes""",Trial1,1 27-lucky-CxC-E CxC Eve_was_a_finalist_in_The_Bachelor. She_was_chosen. 5 lucky_enough She_lost_out_to_the_other_woman. to_be_chosen E,1,1,27-lucky-CxC-E,CxC,Eve_was_a_finalist_in_The_Bachelor.,She_was_chosen.,5,lucky_enough,She_lost_out_to_the_other_woman.,to_be_chosen,E
111,3XC1O3LBOSN84Y7CBQ42AJK8MUPTLW,10,31,"""English""","""Yes""",Trial1,11 50-rude-CxC-noE CxC Ann_got_reprimanded_by_her_boss. She_ignored_him. 1 rude She_apologized_for_her_mistake. to_ignore_him noE,1,11,50-rude-CxC-noE,CxC,Ann_got_reprimanded_by_her_boss.,She_ignored_him.,1,rude,She_apologized_for_her_mistake.,to_ignore_him,noE
10,320DUZ38G7NY43X6O5TIVLSRSBCGJ8,4,29,"""English""","""Yes""",Trial1,filler filler1 filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forgot He_called_his_dentist. to_call_his_dentist na,1,filler,filler1,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forgot,He_called_his_dentist.,to_call_his_dentist,na
71,3BWI6RSP7GA70U0DH1EXSS26O0XE7I,10,28,"""English""","""Yes""",Trial1,filler filler2 filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage He_found_coins_in_his_pocket. to_find_coins_anywhere na,1,filler,filler2,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,He_found_coins_in_his_pocket.,to_find_coins_anywhere,na
119,32Q90QCQ1SMVV97X0V36WX7SUKYEKP,1,29,"""english""","""Yes""",Trial1,2 15-fortunate-CxC-E CxC Sue_spontaneously_went_to_the_beach. She_was_wearing_flip-flops. 3 fortunate_enough She_was_wearing_high_heels. to_be_wearing_flip-flops E,1,2,15-fortunate-CxC-E,CxC,Sue_spontaneously_went_to_the_beach.,She_was_wearing_flip-flops.,3,fortunate_enough,She_was_wearing_high_heels.,to_be_wearing_flip-flops,E
104,3D4CH1LGEAU9YRKX2T256REOW619G7,6,24,"""english""","""Yes""",Trial1,7 43-polite-CnC-noE CnC Chad_was_visiting_his_grandmother. He_brought_a_gift. 5 polite He_came_empty-handed. to_bring_a_gift noE,1,7,43-polite-CnC-noE,CnC,Chad_was_visiting_his_grandmother.,He_brought_a_gift.,5,polite,He_came_empty-handed.,to_bring_a_gift,noE
87,3JJVG1YBEBYU6NAAJHXAT0IPUXPB50,6,25,"""English""","""Yes""",Trial1,7 59-mean-CnC-noE CnC Jack_bumped_his_shopping_cart_into_a_woman. He_laughed_when_she_cried. 1 mean He_felt_bad_and_apologized. to_laugh_when_she_cried noE,1,7,59-mean-CnC-noE,CnC,Jack_bumped_his_shopping_cart_into_a_woman.,He_laughed_when_she_cried.,1,mean,He_felt_bad_and_apologized.,to_laugh_when_she_cried,noE
35,39GAF6DQWR1ARJ7XNBMYRMZFL911VF,1,23,"""English""","""Yes""",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 2 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,2,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na
13,3KOPY89HM83XARLITQMYCR3IO683JO,1,30,"""english""","""Yes""",Trial1,filler filler3 filler Charles_was_on_a_date_with_Susanne. He_was_happy_to_be_having_a_great_time. 1 happy He_was_having_a_bad_time. to_be_having_a_great_time na,1,filler,filler3,filler,Charles_was_on_a_date_with_Susanne.,He_was_happy_to_be_having_a_great_time.,1,happy,He_was_having_a_bad_time.,to_be_having_a_great_time,na
77,3DI28L7YXAFTP8LBSLXORIBTLEXE1L,11,21,"""English""","""Yes""",Trial1,filler filler8 filler Tess_had_failed_many_college_classes. She_was_proud_to_have_graduated_from_college. 1 proud She_didn't_graduate. to_have_graduated_from_college na,1,filler,filler8,filler,Tess_had_failed_many_college_classes.,She_was_proud_to_have_graduated_from_college.,1,proud,She_didn't_graduate.,to_have_graduated_from_college,na
93,38BQUHLA9W1CXOKPFLJIGMTANRYOM7,8,38,"""english""","""Yes""",Trial1,9 31-wise-CxC-E CxC Paul_bought_an_expensive_TV. He_asked_about_the_return_policy. 3 wise_enough He_didn't_ask_the_sales_person_any_questions. to_ask_about_the_return_policy E,1,9,31-wise-CxC-E,CxC,Paul_bought_an_expensive_TV.,He_asked_about_the_return_policy.,3,wise_enough,He_didn't_ask_the_sales_person_any_questions.,to_ask_about_the_return_policy,E
73,3ND9UOO81K30WFB66V9DX3R7QO7WLP,11,43,"""Korean%2C+English""","""Yes""",Trial1,12 45-polite-CxC-E CxC Chad_watched_a_street_comedian. He_laughed. 5 polite_enough He_frowned_because_he_didn't_like_the_act. to_laugh E,1,12,45-polite-CxC-E,CxC,Chad_watched_a_street_comedian.,He_laughed.,5,polite_enough,He_frowned_because_he_didn't_like_the_act.,to_laugh,E
28,3TS1AR6UQQFZ6809CCY3AAN601DF72,3,52,"""English""","""Yes""",Trial1,4 33-wise-CnC-E CnC Paul_ran_a_marathon_on_Sunday. He_went_to_bed_early_the_night_before. 7 wise_enough He_stayed_up_late_on_Saturday. to_go_to_bed_early_the_night_before E,1,4,33-wise-CnC-E,CnC,Paul_ran_a_marathon_on_Sunday.,He_went_to_bed_early_the_night_before.,7,wise_enough,He_stayed_up_late_on_Saturday.,to_go_to_bed_early_the_night_before,E
68,39KFRKBFINWCR593YO7TAHGHW1COYX,0,23,"""ENGLISH""","""Yes""",Trial1,1 27-lucky-CxC-E CxC Eve_was_a_finalist_in_The_Bachelor. She_was_chosen. 4 lucky_enough She_lost_out_to_the_other_woman. to_be_chosen E,1,1,27-lucky-CxC-E,CxC,Eve_was_a_finalist_in_The_Bachelor.,She_was_chosen.,4,lucky_enough,She_lost_out_to_the_other_woman.,to_be_chosen,E
36,34HJIJKLP5XRJI4GAT50PK6IXTBV4M,9,23,"""English""","""Yes""",Trial1,10 47-polite-CnC-noE CnC Chad_had_insulted_his_wife. He_apologized. 1 polite He_refused_to_acknowledge_his_insult. to_apologize noE,1,10,47-polite-CnC-noE,CnC,Chad_had_insulted_his_wife.,He_apologized.,1,polite,He_refused_to_acknowledge_his_insult.,to_apologize,noE
67,3DYGAII7PL9L33UIME3EMVI57XSPQD,11,43,"""English""","""Yes""",Trial1,filler filler4 filler Keith_was_hiking_up_a_steep_mountain. He_was_ecstatic_to_have_made_it_to_the_top. 1 ecstatic He_didn't_make_it_to_the_top. to_have_made_it_to_the_top na,1,filler,filler4,filler,Keith_was_hiking_up_a_steep_mountain.,He_was_ecstatic_to_have_made_it_to_the_top.,1,ecstatic,He_didn't_make_it_to_the_top.,to_have_made_it_to_the_top,na
115,3O7L7BFSHEQ4PEH90SIUJHSF2G9EIE,8,34,"""English""","""Yes""",Trial1,9 28-lucky-CxC-noE CxC Eve_has_a_5th_grade_education. She_got_a_minimum_wage_job 2 lucky She_can't_get_a_job. to_get_a_minimum_wage_job noE,1,9,28-lucky-CxC-noE,CxC,Eve_has_a_5th_grade_education.,She_got_a_minimum_wage_job,2,lucky,She_can't_get_a_job.,to_get_a_minimum_wage_job,noE
128,3OVHNO1VE62LSYSJ41VWDUDKYH9ZD2,6,37,"""english""","""Yes""",Trial1,filler filler5 filler Claire_fell_down_the_stairs. She_was_glad_to_not_be_hurt. 2 glad She_broke_a_leg_and_some_ribs. to_not_be_hurt na,1,filler,filler5,filler,Claire_fell_down_the_stairs.,She_was_glad_to_not_be_hurt.,2,glad,She_broke_a_leg_and_some_ribs.,to_not_be_hurt,na
48,3U088ZLJVKUNZJMKH2NUZJZJNQWW0G,1,34,"""english""","""Yes""",Trial1,filler filler8 filler Tess_had_failed_many_college_classes. She_was_proud_to_have_graduated_from_college. 1 proud She_didn't_graduate. to_have_graduated_from_college na,1,filler,filler8,filler,Tess_had_failed_many_college_classes.,She_was_proud_to_have_graduated_from_college.,1,proud,She_didn't_graduate.,to_have_graduated_from_college,na
66,3T111IHZ5ER0NHTBI4WH5VSVYFC9R3,7,35,"""English""","""Yes""",Trial1,8 56-mean-CxC-noE CxC Jack_didn't_like_the_movie_his_wife_was_watching. He_turned_off_the_movie. 6 mean He_still_watched_it_with_her. to_turn_off_the_movie noE,1,8,56-mean-CxC-noE,CxC,Jack_didn't_like_the_movie_his_wife_was_watching.,He_turned_off_the_movie.,6,mean,He_still_watched_it_with_her.,to_turn_off_the_movie,noE
76,3UJ1CZ6IZHQTN9RCU3J5JPSPYLB5SV,6,58,"""English""","""Yes""",Trial1,7 28-lucky-CnC-noE CnC Eve_bought_a_raffle_ticket._ She_won_the_first_prize. 1 lucky She_won_a_consolation_prize. to_win_the_first_prize noE,1,7,28-lucky-CnC-noE,CnC,Eve_bought_a_raffle_ticket._,She_won_the_first_prize.,1,lucky,She_won_a_consolation_prize.,to_win_the_first_prize,noE
79,3QFUFYSY9YG2NLIQAE0W7Y3W9ZNF4I,7,32,"""English""","""Yes""",Trial1,8 49-rude-CxC-noE CxC Ann's_neighbor_greeted_her. She_ignored_him. 4 rude She_greeted_him_back. to_ignore_him noE,1,8,49-rude-CxC-noE,CxC,Ann's_neighbor_greeted_her.,She_ignored_him.,4,rude,She_greeted_him_back.,to_ignore_him,noE
81,3NS0A6KXC49O4I2A6RW4JFGHB9PZGC,10,41,"""English+""","""Yes""",Trial1,11 31-wise-CnC-noE CnC Paul_lost_his_wallet_with_his_credit_cards. He_canceled_the_credit_cards_immediately. 7 wise He_waited_a_week_to_cancel_the_cards. to_cancel_the_credit_cards_immediately noE,1,11,31-wise-CnC-noE,CnC,Paul_lost_his_wallet_with_his_credit_cards.,He_canceled_the_credit_cards_immediately.,7,wise,He_waited_a_week_to_cancel_the_cards.,to_cancel_the_credit_cards_immediately,noE
5,3C8HJ7UOP7VOWSYWHUUZWK0E7V2MZ8,7,39,"""English""","""Yes""",Trial1,filler filler2 filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage He_found_coins_in_his_pocket. to_find_coins_anywhere na,1,filler,filler2,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,He_found_coins_in_his_pocket.,to_find_coins_anywhere,na
57,3634BBTX0OVWVSH5V3201ZDFEHOFIX,8,31,"""English""","""Yes""",Trial1,9 13-fortunate-CnC-E CnC Sue_was_bitten_by_a_shark. She_got_away_with_a_few_cuts. 5 fortunate_enough She_lost_a_leg. to_get_away_with_a_few_cuts E,1,9,13-fortunate-CnC-E,CnC,Sue_was_bitten_by_a_shark.,She_got_away_with_a_few_cuts.,5,fortunate_enough,She_lost_a_leg.,to_get_away_with_a_few_cuts,E
116,36H9ULYP62VSQ31BDLN0D0SFRWDFJ9,6,24,"""English""","""Yes""",Trial1,7 13-fortunate-CnC-noE CnC Sue_was_bitten_by_a_shark. She_got_away_with_a_few_cuts. 7 fortunate She_lost_a_leg. to_get_away_with_a_few_cuts noE,1,7,13-fortunate-CnC-noE,CnC,Sue_was_bitten_by_a_shark.,She_got_away_with_a_few_cuts.,7,fortunate,She_lost_a_leg.,to_get_away_with_a_few_cuts,noE
60,32SVAV9L3FAM9YIEZK9LJS0ZYJEA3F,11,23,"""English""","""Yes""",Trial1,filler filler7 filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 1 sad She_shared_an_apartment_with_some_friends. to_live_alone na,1,filler,filler7,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,1,sad,She_shared_an_apartment_with_some_friends.,to_live_alone,na
133,33JKGHPFYCVUF3KDE6J51XT5XHUNMS,5,45,"""english""","""Yes""",Trial1,6 8-stupid-CnC-E CnC Zack_left_the_bar_drunk. He_drove_home. 4 stupid_enough He_called_a_taxi. to_drive_home E,1,6,8-stupid-CnC-E,CnC,Zack_left_the_bar_drunk.,He_drove_home.,4,stupid_enough,He_called_a_taxi.,to_drive_home,E
