List,Random,Adjective,Name,ID,Condition,Context,Target,VPinf,Contradict,Enough,Pronoun
1,0.216913829,brave,Greg,19-brave-CnC-noE,CnC,Greg saw a child drowning in a river.,He jumped into the river.,to jump into the river,He watched from the river bank.,noE,He
1,0.031673221,foolish enough,Kate,42-foolish-CnC-E,CnC,Kate took her nephew to the playground.,She wore high heels.,to wear high heels,She wore sneakers.,E,She
1,0.551673619,fortunate enough,Sue,16-fortunate-CnC-E,CnC,Sue was training to become a dancer.,She had a great sense of rhythm.,to have a great sense of rhythm,She couldn't keep a beat.,E,She
1,0.540894346,lucky enough,Eve,27-lucky-CxC-E,CxC,Eve was a finalist in The Bachelor.,She was chosen.,to be chosen,She lost out to the other woman.,E,She
1,0.204828744,mean enough,Jack,58-mean-CxC-E,CxC,Jack's wife wanted to sleep in.,He woke her up at 5am.,to wake her up at 5am,He let her sleep as long as she wanted.,E,He
1,0.406170036,polite enough,Chad,43-polite-CxC-E,CxC,Chad's friend wanted to change her clothing.,He closed his eyes.,to close his eyes,He watched her change.,E,He
1,0.816613402,rude enough,Ann,50-rude-CnC-E,CnC,Ann was visiting her older brother.,She insulted his wife.,to insult his wife,She was kind to his unfriendly wife.,E,She
1,0.179091051,smart,Jane,3-smart-CxC-noE,CxC,Jane wanted to get a good job.,She went to school.,to go to school,She dropped out of school.,noE,She
1,0.730087211,stupid,Zack,8-stupid-CnC-noE,CnC,Zack left the bar drunk.,He drove home.,to drive home,He called a taxi.,noE,He
1,0.268201415,wise,Paul,33-wise-CnC-noE,CnC,Paul ran a marathon on Sunday.,He went to bed early the night before.,to go to bed early the night before,He stayed up late on Saturday.,noE,He
2,0.909915352,brave,Greg,22-brave-CxC-noE,CxC,Greg was being attacked by five men.,He took them on.,to take them on,He curled up on the ground.,noE,He
2,0.019232365,foolish,Kate,39-foolish-CxC-noE,CxC,Kate was drunk at a bar.,She took her top off.,to take her top off,She made sure she was safe.,noE,She
2,0.061048172,fortunate enough,Sue,15-fortunate-CxC-E,CxC,Sue spontaneously went to the beach.,She was wearing flip-flops.,to be wearing flip-flops,She was wearing high heels.,E,She
2,0.844788926,lucky enough,Eve,28-lucky-CnC-E,CnC,Eve bought a raffle ticket. ,She won the first prize.,to win the first prize,She won a consolation prize.,E,She
2,0.592221068,mean enough,Jack,56-mean-CxC-E,CxC,Jack didn't like the movie his wife was watching.,He turned off the movie.,to turn off the movie,He still watched it with her.,E,He
2,0.611522087,polite enough,Chad,44-polite-CxC-E,CxC,Chad was watching a theater play.,He applauded.,to applaud,He didn't applaud at the end.,E,He
2,0.094404958,rude enough,Ann,53-rude-CnC-E,CnC,Ann had insulted her husband.,She laughed at his tears.,to laugh at his tears,She felt terrible and apologized.,E,She
2,0.825430479,smart enough,Jane,3-smart-CxC-E,CxC,Jane wanted to get a good job.,She went to school.,to go to school,She dropped out of school.,E,She
2,0.784410159,stupid,Zack,9-stupid-CxC-noE,CxC,Zack was sitting in the bath tub.,He used the hair dryer.,to use the hair dryer,He was far away from all electrical appliances.,noE,He
2,0.137580824,wise,Paul,35-wise-CnC-noE,CnC,Paul was staying in a bad part of town.,He stayed at home at night.,to stay at home at night,He went out alone in the dark.,noE,He
3,0.796348436,brave,Greg,21-brave-CxC-noE,CxC,Greg was offered a job as a lion tamer.,He took the job.,to take the job,He didn't take it.,noE,He
3,0.428682458,foolish,Kate,37-foolish-CxC-noE,CxC,Kate was completely broke.,She went shopping.,to go shopping,She stayed home.,noE,She
3,0.573986677,fortunate,Sue,18-fortunate-CxC-noE,CxC,Sue needed to get some rest.,She fell asleep.,to fall asleep,She just couldn't get any sleep.,noE,She
3,0.285518752,lucky enough,Eve,28-lucky-CxC-E,CxC,Eve has a 5th grade education.,She got a minimum wage job,to get a minimum wage job,She can't get a job.,E,She
3,0.878160981,mean enough,Jack,56-mean-CnC-E,CnC,Jack saw a hungry dog.,He pretended to have food for him.,to pretend to have food for him,He walked away.,E,He
3,0.795908663,polite enough,Chad,47-polite-CnC-E,CnC,Chad had insulted his wife.,He apologized.,to apologize,He refused to acknowledge his insult.,E,He
3,0.14937691,rude enough,Ann,50-rude-CxC-E,CxC,Ann got reprimanded by her boss.,She ignored him.,to ignore him,She apologized for her mistake.,E,She
3,0.319382928,smart enough,Jane,2-smart-CxC-E,CxC,Jane saw a man with a gun.,She called the police.,to call the police,She did nothing.,E,She
3,0.417205914,stupid enough,Zack,9-stupid-CxC-E,CxC,Zack was sitting in the bath tub.,He used the hair dryer.,to use the hair dryer,He was far away from all electrical appliances.,E,He
3,0.41440593,wise,Paul,33-wise-CxC-noE,CxC,Paul went on a hike in the Alps.,He wore hiking boots.,to wear hiking boots,He wore flip-flops.,noE,He
4,0.928833476,brave,Greg,22-brave-CnC-noE,CnC,Greg saw a man hit a dog.,He stood up to the man.,to stand up to the man,He walked away.,noE,He
4,0.130466544,foolish,Kate,42-foolish-CnC-noE,CnC,Kate took her nephew to the playground.,She wore high heels.,to wear high heels,She wore sneakers.,noE,She
4,0.245298464,fortunate,Sue,16-fortunate-CnC-noE,CnC,Sue was training to become a dancer.,She had a great sense of rhythm.,to have a great sense of rhythm,She couldn't keep a beat.,noE,She
4,0.852750981,lucky,Eve,27-lucky-CxC-noE,CxC,Eve was a finalist in The Bachelor.,She was chosen.,to be chosen,She lost out to the other woman.,noE,She
4,0.659928721,mean enough,Jack,59-mean-CnC-E,CnC,Jack bumped his shopping cart into a woman.,He laughed when she cried.,to laugh when she cried,He felt bad and apologized.,E,He
4,0.308609332,polite enough,Chad,46-polite-CnC-E,CnC,Chad was standing in front of his friend's door.,He knocked gently.,to knock gently,He banged at the door.,E,He
4,0.241421412,rude enough,Ann,49-rude-CxC-E,CxC,Ann's neighbor greeted her.,She ignored him.,to ignore him,She greeted him back.,E,She
4,0.191418355,smart enough,Jane,1-smart-CnC-E,CnC,Jane wanted to get a good job.,She got her high school degree.,to get her high school degree,She dropped out of high school.,E,She
4,0.709800939,stupid enough,Zack,9-stupid-CnC-E,CnC,Zack discovered that his girlfriend was cheating.,He married her.,to marry her,He broke up with her.,E,He
4,0.258305909,wise enough,Paul,33-wise-CnC-E,CnC,Paul ran a marathon on Sunday.,He went to bed early the night before.,to go to bed early the night before,He stayed up late on Saturday.,E,He
5,0.862015725,brave,Greg,20-brave-CxC-noE,CxC,Greg was asked to speak up against the crime boss.,He agreed to do it.,to agree to do it,He refused to speak up.,noE,He
5,0.865343567,foolish,Kate,37-foolish-CnC-noE,CnC,Kate was working a very stressful job.,She ignored her health problems.,to ignore her health problems,She tried to deal with her health problems.,noE,She
5,0.890217593,fortunate,Sue,15-fortunate-CnC-noE,CnC,Sue was traveling in France.,She spoke some French.,to speak some French,She couldn't understand the language.,noE,She
5,0.127961526,lucky,Eve,29-lucky-CnC-noE,CnC,Eve wanted to be a model.,She had beautiful skin.,to have beautiful skin,She had bad skin.,noE,She
5,0.761873443,mean,Jack,55-mean-CnC-noE,CnC,Jack walked past an old man with a cane.,He pushed the man.,to push the man,He steered clear of the man.,noE,He
5,0.021268073,polite enough,Chad,43-polite-CnC-E,CnC,Chad was visiting his grandmother.,He brought a gift.,to bring a gift,He came empty-handed.,E,He
