workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,Answer.comments,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,VPinf,ConDissonant,OldYoung,OldMiddleYoung,ReallyOldYoung,ConditionYN,ConditionYN2
53,3COPXFW7XBDZS0WN99JHQ96W9WKKPB,2,38,"english","Yes","",Trial1,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,1,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Old,Middle,Young,FillerYes,FillerYes
132,3MX2NQ3YC9V1JQDBODPSIX9HE5XX5Q,1,38,"English","Yes","Fun+survey%2C+wish+it+were+longer.",Trial1,2 56-mean-CxC CxC Jack_didn't_like_the_movie_his_wife_was_watching. He_turned_off_the_movie. 7 mean to_turn_off_the_movie,1,2,56-mean-CxC,CxC,Jack_didn't_like_the_movie_his_wife_was_watching.,He_turned_off_the_movie.,7,mean,to_turn_off_the_movie,C,Old,Middle,Young,56-mean-CxC,CxC
33,3MH9DQ757WD7IJ8004XW2N12AWUUGD,7,23,"English","Yes","It+is+really+odd+how+the+word+'enough'+is+omitted+from+the+sentences.",Trial1,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 7 sad to_live_alone,1,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,7,sad,to_live_alone,filler,Young,Young,Young,FillerYes,FillerYes
71,3SNVL38CI4TGYBNJ44XB697PAD5CKP,8,29,"English%2C+Spanish","Yes","",Trial1,9 33-wise-CnC CnC Paul_ran_a_marathon_on_Sunday. He_went_to_bed_early_the_night_before. 1 wise to_go_to_bed_early_the_night_before,1,9,33-wise-CnC,CnC,Paul_ran_a_marathon_on_Sunday.,He_went_to_bed_early_the_night_before.,1,wise,to_go_to_bed_early_the_night_before,C,Old,Young,Young,33-wise-CnC,CnC
98,3VD82FOHKQPZO28Y2WP4DQOYUIFCO9,6,46,"English","Yes","",Trial1,7 4-smart-CnC CnC Jane_was_baby-sitting_for_her_sister. She_kept_an_eye_on_the_baby_at_all_times. 3 smart to_keep_an_eye_on_the_baby_at_all_times,1,7,4-smart-CnC,CnC,Jane_was_baby-sitting_for_her_sister.,She_kept_an_eye_on_the_baby_at_all_times.,3,smart,to_keep_an_eye_on_the_baby_at_all_times,C,Old,Old,Young,4-smart-CnC,CnC
25,3GNA64GUZE5HATCZ2ZU0OPDOH2BQ5N,11,27,"English","Yes","",Trial1,12 33-wise-CxC CxC Paul_went_on_a_hike_in_the_Alps. He_wore_hiking_boots. 1 wise to_wear_hiking_boots,1,12,33-wise-CxC,CxC,Paul_went_on_a_hike_in_the_Alps.,He_wore_hiking_boots.,1,wise,to_wear_hiking_boots,C,Young,Young,Young,33-wise-CxC,CxC
129,3SLE99ER0NESD1UZQ54QI4PKW1HZBQ,2,4,"English","Yes","",Trial1,3 3-smart-CxD CxD Jane_had_the_measles. She_went_to_school. 7 smart to_go_to_school,1,3,3-smart-CxD,CxD,Jane_had_the_measles.,She_went_to_school.,7,smart,to_go_to_school,D,Young,Young,Young,3-smart-CxD,CxD
99,3NS0A6KXC49O4I2A6RW4JFGHCE9ZG7,7,28,"English","Yes","",Trial1,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 5 sad to_live_alone,1,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,5,sad,to_live_alone,filler,Young,Young,Young,FillerYes,FillerYes
131,392CY0QWG1SMXCKGBM6HAVGOQWZI47,2,23,"English","Yes","",Trial1,3 43-polite-CnD CnD Chad_was_visiting_his_grandmother. He_insulted_her_caretaker. 7 polite to_insult_her_caretaker,1,3,43-polite-CnD,CnD,Chad_was_visiting_his_grandmother.,He_insulted_her_caretaker.,7,polite,to_insult_her_caretaker,D,Young,Young,Young,43-polite-CnD,CnD
19,36DSNE9QZ5ZMWGE4CO6Q0U1TK2NJOT,0,25,"English","Yes","",Trial1,1 29-lucky-CnD CnD Eve_wanted_to_be_a_model. She_had_bad_skin. 6 lucky to_have_bad_skin,1,1,29-lucky-CnD,CnD,Eve_wanted_to_be_a_model.,She_had_bad_skin.,6,lucky,to_have_bad_skin,D,Young,Young,Young,29-lucky-CnD,CnD
46,3DOCMVPBTNF0XL5DQ7Y5ECI53CONNN,11,32,"English","Yes","",Trial1,12 16-fortunate-CnD CnD Sue_was_training_to_become_a_dancer. She_developed_back_problems. 1 fortunate to_develop_back_problems,1,12,16-fortunate-CnD,CnD,Sue_was_training_to_become_a_dancer.,She_developed_back_problems.,1,fortunate,to_develop_back_problems,D,Old,Middle,Young,16-fortunate-CnD,CnD
